ts_code,trade_date,Close,open,high,low,pre_close,change,pct_chg,Volume,amount
000001.SH,20150730,3705.77,3773.79,3844.37,3685.96,3789.17,-83.4024,-2.2011,457943000,615978000
000001.SH,20150731,3663.73,3655.67,3729.51,3620.17,3705.77,-42.04,-1.1344,350956000,460472000
000001.SH,20150803,3622.91,3614.99,3648.94,3549.5,3663.73,-40.8205,-1.1142,363969000,445992000
000001.SH,20150804,3756.54,3621.85,3757.03,3601.29,3622.91,133.64,3.6887,362902000,464036000
000001.SH,20150805,3694.57,3745.65,3782.35,3676.39,3756.54,-61.9716,-1.6497,366423000,483850000
000001.SH,20150806,3661.54,3625.5,3710.57,3614.74,3694.57,-33.0341,-0.8941,274075000,357515000
000001.SH,20150807,3744.2,3692.61,3756.74,3686.3,3661.54,82.6653,2.2577,340757000,445485000
000001.SH,20150810,3928.42,3786.03,3943.62,3775.85,3744.2,184.211,4.9199,497304000,652622000
000001.SH,20150811,3927.91,3928.81,3970.34,3891.18,3928.42,-0.5071,-0.0129,538923000,712290000
000001.SH,20150812,3886.32,3881.23,3937.77,3871.14,3927.91,-41.5885,-1.0588,442688000,597050000
000001.SH,20150813,3954.56,3869.91,3955.79,3838.16,3886.32,68.2363,1.7558,430073000,578686000
000001.SH,20150814,3965.33,3976.41,4000.68,3939.83,3954.56,10.7788,0.2726,467988000,647466000
000001.SH,20150817,3993.67,3947.84,3994.54,3907.4,3965.33,28.3328,0.7145,460432000,626328000
000001.SH,20150818,3748.16,3999.13,4006.34,3743.39,3993.67,-245.504,-6.1473,543771000,722467000
000001.SH,20150819,3794.11,3646.8,3811.43,3558.38,3748.16,45.9455,1.2258,475396000,599513000
000001.SH,20150820,3664.29,3754.57,3788.01,3663.61,3794.11,-129.819,-3.4216,390063000,501195000
000001.SH,20150821,3507.74,3609.96,3652.84,3490.54,3664.29,-156.547,-4.2722,369920000,450616000
000001.SH,20150824,3209.91,3373.48,3388.36,3191.88,3507.74,-297.839,-8.4909,334672000,358819000
000001.SH,20150825,2964.97,3004.13,3123.03,2947.94,3209.91,-244.938,-7.6307,352325000,358736000
000001.SH,20150826,2927.29,2980.79,3092.04,2850.71,2964.97,-37.6794,-1.2708,466700000,461789000
000001.SH,20150827,3083.59,2978.03,3085.42,2906.49,2927.29,156.303,5.3395,400308000,404289000
000001.SH,20150828,3232.35,3125.26,3235.84,3102.95,3083.59,148.758,4.8242,443137000,474631000
000001.SH,20150831,3205.99,3203.56,3207.86,3109.16,3232.35,-26.364,-0.8156,397431000,431069000
000001.SH,20150901,3166.62,3157.83,3180.33,3053.74,3205.99,-39.3616,-1.2278,432432000,420412000
000001.SH,20150902,3160.17,3027.68,3194.48,3019.09,3166.62,-6.4569,-0.2039,438170000,423262000
000001.SH,20150907,3080.42,3149.38,3217.58,3066.3,3160.17,-79.7469,-2.5235,296468000,302690000
000001.SH,20150908,3170.45,3054.44,3174.71,3011.12,3080.42,90.0321,2.9227,255415000,263910000
000001.SH,20150909,3243.09,3182.55,3256.74,3165.7,3170.45,72.6367,2.2911,375328000,412991000
000001.SH,20150910,3197.89,3190.55,3243.28,3178.9,3243.09,-45.1957,-1.3936,273262000,299581000
000001.SH,20150911,3200.23,3189.48,3223.76,3163.45,3197.89,2.3405,0.0732,224558000,252769000
000001.SH,20150914,3114.8,3221.17,3229.48,3049.23,3200.23,-85.4357,-2.6697,346631000,373577000
000001.SH,20150915,3005.17,3043.8,3081.7,2983.92,3114.8,-109.626,-3.5195,249194000,243905000
